,angle
405,61.57866014537725
406,61.71288006202161
407,62.07985930823534
408,61.932756755541675
409,62.7540711312487
410,64.51675140238933
411,64.8643241890703
412,63.21408068686211
413,62.6207562386223
414,62.280670394629695
415,62.30043749888346
416,62.13729688878721
417,62.158759323113856
418,62.74216420386566
419,62.632871652909365
420,61.75884187490524
421,62.286900967560754
422,62.03559196298251
423,62.16558327503401
424,61.393212798766555
425,62.66033034538255
426,62.147280801235866
427,61.99317256740272
428,62.060743883298144
429,62.20168178819731
430,62.71455065367395
431,62.21817517370457
432,62.60927995058871
433,62.82728709163102
434,62.14892900550192
435,62.25678809045609
436,62.42666510607387
437,62.23461471566959
438,62.60440349942186
439,62.206976584805446
440,61.650853500664084
441,63.39327581302288
442,62.52805643390992
443,62.3059474932747
444,61.978821800199334
445,62.82438431146884
446,62.76579118659432
447,62.763344230953514
448,65.0085639011881
449,61.291117821805194
450,61.940408614526724
451,61.32587192620576
452,61.96729688608021
453,60.925945873598295
454,62.322559612095525
455,63.61015464758246
456,63.815224482249505
457,63.617424609857984
458,62.679908267080656
459,62.128811212313906
460,61.861014259235326
461,62.53688910163135
462,62.458123801383195
463,62.45672066155045
464,63.70705398019999
465,62.5655944367918
466,62.41720900101622
467,62.33515581172506
468,62.851903748021826
469,63.96444045314218
470,63.353073261711984
471,62.923948155469716
472,61.56039687826152
473,62.29034336409718
474,62.94881179850928
475,61.7310902220993
476,62.75454656610113
477,62.50780285758284
478,62.44123495551791
479,62.842168101398784
480,61.99226187048223
481,63.181914456007156
482,60.692538358280544
483,62.45049856874742
484,62.41590455836591
485,62.25907707534728
486,62.44482559833775
487,62.742345947936485
488,62.249516111254074
489,62.222573837209026
490,61.579404833118126
491,68.50906880639064
492,67.48219968387741
493,64.26981013367468
494,62.11798519610759
495,62.09681766088624
496,62.32347625589691
497,61.470155788226535
498,63.38702680927407
499,62.54382711532268
500,62.3421016665119
501,61.30238671690165
502,62.67276302128548
503,61.89162086315483
504,62.14928973835195
505,62.37902403286655
506,62.22814577928237
507,62.37268488830694
508,61.896888328867504
509,62.2556951348099
510,62.9508871555869
511,62.57423245974875
512,62.62639100004346
513,63.119570656327404
514,63.19996986891944
515,63.23103274126054
516,63.303678942499964
517,62.477228325260434
518,62.81869851761309
519,62.99490870121472
520,62.50831202640185
521,63.142094775701246
522,61.575283171607154
523,62.480221409329495
524,62.91002547348768
525,62.21142330569515
526,61.968814475346996
527,62.483544888687724
528,62.247206992532
529,62.17995239689417
530,62.58791947322836
531,62.96503219753467
532,62.379137837714254
533,62.73737833469444
534,61.255315184591126
535,61.93495834033755
536,62.68387466453649
537,62.618006748040834
538,62.61091624522968
539,62.466182430206985
540,62.397936937741605
541,62.69465279767026
542,62.02566498264834
543,61.760740332911816
544,62.396895906726144
545,62.8571320247225
546,61.52746696834933
547,61.27612202157366
548,62.035992173070156
549,62.55308260644025
550,62.56686070748801
551,62.53098332528144
552,62.44818909484867
553,62.27904173632331
554,62.53345151332757
555,62.21393483966235
556,62.336797627940705
557,62.4818065196663
558,62.42170092724689
559,61.60094506178661
560,62.550770982180076
561,62.65696050316911
562,62.3487182548883
563,62.50026663081687
564,62.31228067641389
565,62.69545422168999
566,61.194246984182406
567,64.46834064877353
568,62.33851255570162
