,angle
227,63.24096651884994
228,64.04221480755155
229,64.71010528713371
230,62.78714373223977
231,66.33005826856099
232,66.54768586006996
233,61.08309996488719
234,61.28823947329493
235,60.56859460454021
236,66.83271929029621
237,62.65559622500504
238,61.66060838195017
239,63.72525705300827
240,63.416931560497524
241,62.49522642894017
242,61.56184693198271
243,64.67980176535117
244,63.905634850082514
245,61.92445894261511
246,65.39889983085885
247,64.32964208101792
248,61.13850618379528
249,63.510697152700935
250,59.548691869831
251,65.63598912379446
252,63.943461391925666
253,61.427765957885526
254,62.3494112474271
255,63.98499123417665
256,64.22077463639799
257,62.991096179227945
258,64.02670305280743
259,61.565714901857426
260,62.209308392827175
261,61.62300536981141
262,62.26212223350742
263,58.14724180368164
264,62.00270050866959
265,63.08057485957393
266,61.9698711831664
267,61.844847925955
268,62.945336138018774
269,59.270014670958226
270,62.56088872791111
271,63.04206665726938
272,63.19907841301936
273,62.52976286571535
274,62.935099534106904
275,63.818462884577016
276,62.732282577661394
277,62.77709148823395
278,64.28579025766157
279,62.66926364692937
280,60.04254675466826
281,61.69197148851764
282,63.10886397128142
283,62.92388714498937
284,62.13234905327096
285,63.70242211591696
286,63.48306693232003
287,62.473694375305975
288,60.72619332553797
289,63.173215646512155
290,61.20359072409306
291,62.876609969887205
292,62.552777346784595
293,61.88618471961646
294,61.224631621543864
295,62.5865954017185
296,64.44661954729474
297,62.754487956811964
298,64.02046778357985
299,62.16301900334276
300,65.85168134533635
301,64.09519528501848
302,64.68907704217594
303,64.09793341224503
304,64.1300522224745
305,63.77130587044556
306,66.4953811681663
307,67.39208526180423
308,63.707940296731934
309,63.41428033542064
310,65.50135743928388
311,63.74372736170288
312,64.1957323535245
313,64.42065349191272
314,64.11501779379135
315,64.97400838240769
316,60.98867893909329
317,62.668356256744424
318,64.10800242249928
319,63.44997239283819
320,68.87473990514854
321,68.20552976707225
322,64.50795011398317
323,67.27403794603919
324,62.667218053948694
325,65.50670789808547
326,66.07827708368765
327,60.71582060855818
328,66.85538356355178
329,61.976967183667874
330,59.77992488377748
331,65.32021111811099
332,64.27176290321228
333,61.613442161862004
334,64.29391672261104
335,64.64508127670317
336,63.3136702892321
337,64.24683149358569
338,62.60520924315063
339,64.97450517360642
340,63.14303877107981
341,62.781222849328095
342,63.45015702932607
343,64.30050841572272
344,61.16770664195781
345,63.252393038245394
346,68.0669091428069
347,64.65532117402184
348,61.53846365988639
349,64.47116662766923
350,64.62080541372752
351,62.95948819348261
352,62.5674447592467
353,63.255705789222354
354,62.03745535282573
355,59.33502626848767
356,60.802310745889116
357,62.600867563084165
358,60.810815506997
359,63.80812030906092
360,62.381753261731774
361,62.6432965955253
362,64.47641554777698
363,63.57830668634549
364,64.12688299157915
365,62.72145405874287
366,67.02727583806573
367,65.16376746416798
368,65.23563431552188
369,63.12778751361793
370,63.1126071043308
371,63.18175448734969
372,66.97183285572282
373,62.64981741597769
374,63.46711380593771
375,65.79318069868144
376,66.74104850335077
377,63.26393594334382
378,65.09520754490204
379,67.11084324451451
380,64.42844259899296
381,66.52305328320828
382,67.16870042170197
383,64.77012944946442
384,65.42002325901983
385,62.56030072654822
386,62.43935642737109
387,69.29509217283774
388,62.511033711983494
389,67.19197941831564
390,65.67341628452458
391,63.30332878093914
392,64.32785872762453
393,65.15430801366797
394,63.331285914615194
395,66.00772342056202
396,67.0341635041004
397,66.11576985033571
398,66.52046165319138
399,65.18539591479825
400,64.39963307467856
401,65.1031218473563
402,68.20479904791905
403,65.73025982149171
404,68.0998983230633
405,65.42223525518979
406,62.90078515907284
407,65.86844164505708
408,65.03344564785887
409,64.56907222211005
410,65.01909425782253
411,65.23151698709916
412,64.65583034863648
413,62.15852842167125
414,64.04100460687293
415,64.34519271932967
416,65.70921777743949
417,64.07135029396728
418,67.03351705429469
419,62.81048587400792
420,63.52111069396903
421,62.94042561561841
422,62.828883317774114
423,63.07430176362014
424,62.83509603720358
425,61.96561579943823
426,64.3481857711633
427,63.21771602501934
428,63.490845294220264
429,63.85608054348292
430,63.61484813187881
431,63.177120010854075
432,64.24018744856416
433,64.4651174319659
434,65.06257738625857
435,65.85520188711732
