#Frame             d1           d2           d3
     231      20.8996      69.9973     -97.3076
     232      17.8358      72.7237     -97.3548
     233      17.3903      75.9800     -88.5491
     234      39.5101      36.1714    -114.9067
     235      42.5072       8.6384    -101.7286
     236      64.7117     -20.3865    -104.7211
     237      37.5186      28.1970    -118.3789
     238      43.3718      19.2081    -103.0405
     239      41.5202      11.3247    -105.9372
     240      23.3268      46.1564    -119.6569
     241      32.9409      77.8455     -90.8234
     242      24.2497      73.6885     -96.7344
     243      31.8808      82.0959     -92.0494
     244      28.2018      10.0122    -122.7233
     245      30.0038      12.1091    -123.8328
     246      46.6462      18.3888    -109.5451
     247      31.8193      71.1453     -84.3354
     248      24.2330      77.9381     -93.4210
     249      42.8680      19.9300    -110.3727
     250      39.4181       9.1422    -118.7485
     251      54.5745      18.1666    -112.9803
     252      40.1561      19.7113    -102.5649
     253      52.8743      11.0162    -117.5686
     254      67.5111     -60.6460     -85.7328
     255      55.7563     -90.4980     -76.5772
     256      64.6129    -103.2126     -68.7661
     257      59.3921    -103.0735     -67.9632
     258      56.3735     -88.0079     -65.5388
     259      52.3144    -111.7536     -60.1273
     260      54.1813     -89.2748     -83.1366
     261      55.9251     -64.5318     -70.5328
     262      55.8980     -43.0938    -106.0214
     263      53.8060     -32.9399    -110.5344
     264      50.6898     -28.2763    -112.8408
     265      63.3229     -29.6738    -105.5154
     266      56.6299     -36.2148    -105.3044
     267      61.4124     -35.8728     -89.8020
     268      63.7450     -38.5923    -110.4051
     269      55.6578     -34.4524     -93.2766
     270      46.5820     -37.0980     -97.1526
     271      49.1154     -20.3661    -112.0246
     272      48.8193     -34.0696    -106.8379
     273      70.2482     -34.6877     -97.1044
     274      56.9006    -108.2429     -68.4735
     275      48.6469    -118.3252     -61.8361
     276      26.3485    -148.2053     -64.4601
     277      28.6950    -170.4196     -62.0882
     278      20.0041     167.0682     -56.5572
     279      33.8846    -175.6625     -51.5980
     280      28.5522    -168.1850     -62.3980
     281      47.3953    -113.2655     -75.4461
     282      52.7042    -113.2434     -65.1097
     283      60.1749    -117.0982     -57.8688
     284      45.7484     -90.3272     -57.9284
     285      50.2402    -113.2625     -75.6617
     286      51.3734    -120.8635     -54.1281
     287      53.5248    -103.1919     -66.4037
     288      59.4070     -93.4295     -79.2092
     289      51.2146    -122.6092     -70.8962
     290      56.7069     -32.7346     -90.2226
     291      67.2080     -35.3239    -112.0599
     292      56.6709     -35.8313     -99.7908
     293      56.2529     -25.1417    -111.9130
     294      54.0671     -42.2758     -90.8392
     295      49.0009     -29.3725    -104.4852
     296      54.3274     -44.8631     -91.4960
     297      65.8990     -26.9354    -105.2502
     298      65.4588     -43.8733     -97.3492
     299      35.4346      12.1002    -113.1080
     300      45.7726      18.9117    -102.0344
     301      42.4186       6.4725    -107.7247
     302      44.5062      20.7045     -97.1674
     303      47.3731      12.8921    -106.3911
     304      38.1173       5.2314    -107.0409
     305      40.4164      13.5996    -110.3441
     306      38.0410      11.9021    -110.5959
     307      46.5496      21.0820    -111.9012
     308      53.1484      25.1721     -94.2422
     309      42.1975      33.4286    -103.4927
     310      43.6713      14.1412    -104.7861
     311      49.2946      19.4794     -88.4669
     312      44.1868      22.6402    -101.6957
     313      42.4008      13.9737    -105.6527
     314      30.0070      25.9508    -125.2352
     315      46.0083      24.6865    -110.7230
     316      44.3431      19.9859    -109.7485
     317      68.2835     -24.3002     -99.3864
     318      64.0446     -46.8729     -90.8149
     319      58.8189     -24.4039     -94.1036
     320      64.0244     -29.8806     -87.7479
     321      57.6440     -40.5959     -78.8441
     322      58.6408     -47.7874     -91.9977
     323      67.1165     -41.1882     -73.3902
     324      74.3001     -72.2436     -71.4531
     325      58.4824    -116.3036     -68.1106
     326      53.1528     -98.8002     -72.3020
     327      49.7137    -117.1514     -52.3728
     328      55.2073    -101.2055     -62.9450
     329      60.1331     -96.7834     -67.6245
     330      53.1397    -109.2727     -69.4999
     331      64.8623    -101.4995     -59.8326
     332      57.3142     -96.6982     -67.9158
     333      61.0110     -96.2739     -71.1004
     334      53.1478     -37.3779     -96.5235
     335      60.2341     -34.4634    -104.0319
     336      62.6675     -32.5478     -97.7283
     337      37.8765       4.2082    -100.9820
     338      39.9745      17.1993    -110.7648
     339      40.6392       2.6842    -100.4424
     340      32.5490       9.9394    -115.6796
     341      50.4002       4.6826    -109.4156
     342      26.8807      64.1255     -89.3311
     343      34.4088      15.9537    -127.6756
     344      50.5026       1.2516    -107.7839
     345      40.2499      23.8765    -122.7582
     346      50.0644       8.7262    -117.9823
     347      33.1315       4.3787    -126.0167
     348      47.3992       6.4665    -112.5345
     349      28.8068      64.7300     -91.9849
     350      17.2758      76.0468     -84.0188
     351      29.6618      74.0505     -90.3069
     352      13.8229     107.5453     -86.5040
     353      18.5639     111.9422     -64.5667
     354      32.3787     151.5392     -46.0641
     355      26.1894     118.2930     -63.1735
     356       8.8504     132.8210     -63.9398
     357      15.9621     128.7603     -60.8039
     358      15.2395     139.5556     -58.3870
     359      24.9846     122.8956     -63.0087
     360      20.2053      80.7752     -90.8093
     361      25.6354      94.3385     -75.0106
     362      17.4599      85.8798     -90.3381
     363      51.4709     -11.5303    -117.3228
     364      53.2994     -28.8337    -111.9664
     365      55.4350     -53.7114     -71.4816
     366      59.5371     -28.8613    -101.0445
     367      60.3133     -35.7501     -97.4690
     368      58.2372     -31.2604    -107.9476
     369      58.6822     -33.1132    -103.2771
     370      34.0945    -164.6121     -45.1864
     371      40.7500    -158.0473     -48.2042
     372      33.4507    -174.4224     -51.4405
     373      29.0811    -167.3362     -54.2424
     374      56.2150    -100.0408     -75.6397
     375      49.4896    -107.4101     -73.2213
     376      47.9350    -109.0427     -67.6903
     377      52.7611     -99.0345     -68.7826
     378      53.0823     -92.3835     -68.9106
     379      53.4836    -105.2836     -48.4239
     380      59.9475    -126.2890     -49.4495
     381      63.0649    -114.3595     -67.4864
     382      48.3189    -137.2418     -66.9570
     383      37.4523    -165.4126     -62.2405
     384      41.4685     178.0145     -42.4953
     385      30.7219    -176.3313     -45.0618
     386      25.0065    -173.9672     -55.3473
     387      56.0456     -85.0527     -80.4995
     388      46.2226     -93.9186     -70.4435
     389      30.0531    -169.4032     -66.5852
     390      28.9445    -168.5328     -50.3035
     391       9.4379     177.3088     -55.6708
     392      55.8263    -100.4794     -69.3691
