Delta_44.2348	Delta_109.5944
-0.126643	0.815250
-0.208862	0.788297
-0.214864	0.943939
-0.081289	0.995949
-0.129273	1.068262
-0.287536	0.839877
-0.215522	0.756134
-0.245198	0.737824
-0.386929	0.807513
-0.317100	0.709290
-0.367582	0.325408
-0.236984	0.942857
-0.254921	0.635129
-0.255973	0.860737
-0.318753	0.664232
-0.380312	0.926475
-0.425904	0.944358
-0.325020	0.705363
-0.296587	0.910514
-0.165698	0.748324
-0.377663	0.537469
-0.266887	0.664356
-0.220175	0.696388
-0.278546	0.863224
-0.237096	0.844771
-0.383864	0.947089
-0.279336	0.835344
-0.308445	0.752794
-0.227109	1.182597
-0.490762	0.630324
-0.372886	0.576653
-0.323448	1.012773
-0.427946	0.931908
-0.379628	0.817331
-0.361061	0.720065
-0.443518	1.036076
-0.276129	0.893816
-0.501163	0.335082
-0.405543	0.542749
-0.480547	0.466954
-0.569483	0.544071
-0.469209	0.454281
-0.484674	0.430730
-0.243966	0.774329
-0.220779	0.996190
-0.065713	0.736841
0.251629	0.403866
0.225645	0.302942
0.191340	0.447298
0.243072	0.624563
0.280912	0.218229
0.151186	0.252287
0.076824	0.294948
0.108338	0.332665
0.218683	0.269440
0.120705	0.286082
0.190792	0.396157
0.268039	0.106880
0.164197	0.342432
0.039795	0.694135
0.200369	0.426988
-0.288016	0.753588
-0.218770	1.079294
-0.348481	0.944899
-0.224374	0.752942
-0.327151	0.810033
0.009926	0.599622
-0.049136	0.609301
-0.150671	0.951817
0.145644	0.374090
-0.058947	0.793854
-0.020602	0.754750
0.090555	0.800354
0.091897	0.380817
0.252813	0.629839
-0.407217	0.760546
-0.361716	0.901244
0.067900	0.757332
-0.067014	0.847595
0.059875	0.563157
0.124114	0.643360
0.140241	0.543448
-0.151107	0.704054
0.177315	0.567824
0.110828	0.786026
0.119415	0.192827
0.188974	0.648985
0.100681	0.817451
0.158565	0.658848
0.149282	0.637654
0.208375	0.775874
0.075222	0.698706
0.146990	0.589745
0.236082	0.692796
0.059273	0.769605
0.050068	0.644787
0.058149	0.652292
0.195409	0.350452
0.177006	0.576416
0.122564	0.736080
0.139940	0.738199
-0.003571	0.568122
0.227458	0.275219
0.274905	0.119005
0.193824	0.016368
0.122651	0.900450
0.073178	0.710822
-0.118878	0.766987
-0.367744	1.122133
-0.135251	1.064501
-0.418204	0.945508
-0.351082	1.027652
-0.439692	0.811212
0.040706	0.839542
-0.010008	0.903857
0.064359	0.484774
0.060621	0.749860
0.157790	0.563151
0.133441	0.346155
0.145962	0.626062
0.115141	0.807531
0.101742	0.191435
0.196838	0.149278
0.245025	0.055470
0.063444	0.413655
0.083114	0.728794
0.295245	0.189545
0.057971	0.382948
0.289494	0.144072
0.137761	0.352028
0.190304	0.431924
0.280307	0.161497
