Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.458805	-1.368082	-0.111986
0.369657	-1.312915	-0.342872
0.338486	-1.464174	-0.411934
0.122173	-1.255134	-0.753713
0.401448	-1.277201	-0.500428
0.372385	-1.359241	-0.483420
0.790224	-2.132180	-0.302567
0.716241	-2.526148	-0.152966
0.625036	-2.133990	-0.210365
0.715889	-2.229576	-0.099437
0.604530	-2.416593	0.055964
0.621927	-2.542109	-0.173610
0.769856	-2.426931	0.151152
0.895233	-2.968950	0.184961
0.619163	2.545243	0.243299
0.526143	2.850735	0.170145
0.466120	2.530446	0.517975
0.562001	2.808755	0.333456
0.647973	2.885935	0.251783
0.525915	2.667956	0.219051
0.730513	2.803624	0.387777
0.598774	2.887422	0.246699
0.663295	2.894828	0.191117
0.526056	-2.360429	-0.252600
0.649735	-2.309561	-0.383646
0.692206	-2.276128	-0.273627
0.259522	-1.634614	-0.330415
0.296139	-1.407877	-0.501157
0.307740	-1.661213	-0.320997
0.166539	-1.534586	-0.586937
0.478102	-1.626334	-0.477609
0.067609	-0.588860	-0.127069
0.198999	-1.429617	-0.796306
0.479889	-1.686217	-0.449131
0.300945	-1.291338	-0.710482
0.472241	-1.555760	-0.627126
0.176706	-1.631639	-0.767353
0.425724	-1.595200	-0.532044
0.101226	-0.578310	-0.173386
-0.100028	-0.380794	-0.034352
0.116148	-0.415636	-0.144100
-0.160293	0.168958	-0.077726
-0.077547	0.245699	0.305152
0.163567	0.936797	0.628083
0.055543	0.356541	0.329468
-0.247079	0.610103	0.316093
-0.122957	0.539230	0.370825
-0.135568	0.727643	0.413008
0.034516	0.436872	0.332344
-0.048899	-0.298268	-0.152868
0.045874	-0.061544	0.122871
-0.096815	-0.209176	-0.144644
0.496789	-1.909303	-0.615616
0.528702	-2.211304	-0.522129
0.565975	-2.645502	0.184464
0.637571	-2.211786	-0.331506
0.651118	-2.332018	-0.269102
0.614883	-2.253658	-0.451988
0.622650	-2.285996	-0.370472
0.193513	1.702101	0.643402
0.309674	1.816678	0.590731
0.182277	1.530879	0.534247
0.106013	1.654556	0.485345
0.579589	2.829083	0.111891
0.462209	2.700464	0.154100
0.435076	2.671970	0.250635
0.519307	2.846646	0.231570
0.524913	2.962728	0.229336
0.531917	2.737579	0.586897
0.644733	2.370965	0.568997
0.699142	2.579174	0.254193
0.441776	2.179803	0.263433
0.252118	1.688130	0.345751
0.322214	1.398878	0.690370
0.134650	1.497562	0.645576
0.034898	1.538824	0.466061
0.576632	3.090674	0.027072
0.405189	2.935935	0.202582
0.122978	1.618480	0.269922
0.103629	1.633672	0.554091
-0.236825	1.386561	0.460414
0.572805	2.821428	0.221334
0.377780	2.628501	0.090731
0.475696	2.848538	0.314599
0.567258	2.873322	0.212091
0.394486	2.773916	0.308578
0.454290	2.781221	0.049306
0.478325	2.850390	-0.121115
0.653593	-2.326835	-0.397478
0.594124	-2.346688	-0.445682
0.446111	-1.984762	-0.317050
0.664223	-2.522109	-0.355154
0.836023	-2.533773	-0.143173
0.688192	-2.350536	0.006198
0.573039	-2.133754	-0.461489
0.796652	-2.272136	-0.484894
0.735100	-2.420300	0.151144
0.568003	-2.335999	-0.536177
0.530097	-2.207861	-0.390945
0.857253	-2.350386	-0.277057
0.420284	-2.247120	-0.309965
0.604106	-2.426441	-0.207741
0.390835	-2.522099	-0.194767
0.235433	-2.401941	-0.374972
0.730551	-2.471130	-0.312294
0.489926	-2.296419	-0.144737
0.358943	-1.632464	-0.567714
0.232705	-1.605460	-0.725649
0.137026	-1.496489	-0.633612
0.305396	-1.439466	-0.491214
0.412678	-1.492052	-0.356436
0.264679	-1.407077	-0.494193
0.337004	-1.341704	-0.692400
0.491977	-2.543707	-0.472797
0.480552	-2.118954	-0.442108
0.558776	-2.300531	-0.295922
0.412498	-2.284301	-0.419516
0.635689	-2.350875	-0.192864
0.814673	-2.584967	-0.215461
0.687721	-2.356064	-0.340730
0.620384	-2.068344	-0.184338
0.513867	2.738490	0.247053
0.574100	2.977694	0.086610
0.636928	3.023224	0.063542
0.156401	1.623249	0.624311
0.096930	1.565590	0.520941
0.052346	1.582909	0.555498
0.268378	1.809231	0.444893
0.015811	1.280564	0.432414
0.115405	1.593067	0.467438
0.028735	1.576568	0.639724
0.047302	1.625923	0.438090
0.005540	1.275485	0.519801
0.209054	1.525259	0.565235
-0.026808	0.603599	0.458435
-0.201778	0.669095	0.522632
-0.048908	0.596306	0.194337
-0.105210	0.399508	0.180949
-0.189871	0.350188	0.336365
0.143799	1.628607	0.498721
0.266367	2.009991	0.605319
0.104004	1.560363	0.433069
-0.056273	1.503591	0.395027
0.253284	1.870857	0.520328
0.006295	1.558333	0.350998
0.232453	1.651671	0.450710
0.118152	1.741394	0.567705
0.275626	1.834749	0.522213
-0.067946	1.651790	0.337482
-0.038996	1.410641	0.557435
-0.015364	1.465124	0.527873
0.061996	1.540761	0.457442
0.073030	1.551997	0.406965
0.157828	1.528168	0.681582
0.144059	1.461877	0.633132
0.006046	1.464979	0.695515
0.057800	1.464237	0.513895
0.191014	1.508348	0.473946
0.353368	1.916096	0.612316
0.319755	1.535761	0.381899
0.180964	1.420581	0.599475
0.061221	1.398796	0.647948
0.058325	1.534279	0.594676
-0.003243	1.527036	0.484338
0.292885	1.791197	0.382999
0.214869	1.609888	0.539452
0.450656	2.811617	0.333986
0.513047	2.793279	0.231000
0.343423	2.331650	0.451276
0.529770	2.642139	0.403475
0.406735	2.712795	0.382276
