Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.108388	-0.391125	-0.036257
0.046297	-0.599259	-0.167464
-0.187872	0.674858	0.189319
-0.115516	0.211590	0.135794
-0.109821	0.840786	0.458296
0.046194	0.769121	0.481273
-0.201346	0.078484	-0.045239
0.053060	-0.350902	-0.084210
-0.011572	-0.536275	-0.248113
0.049030	-0.561719	-0.206415
0.256164	-0.711075	-0.445914
-0.004594	-0.611572	-0.120075
-0.096215	-0.545789	-0.287053
0.502229	-1.442876	-0.420054
0.242138	-1.462734	-0.292337
0.352604	-1.754677	-0.397820
0.370804	-1.686023	-0.508455
0.432758	-1.610829	-0.420628
0.187387	-1.443639	-0.713346
0.398544	-1.457184	-0.598030
0.420836	-1.469796	-0.534285
0.474658	-1.565372	-0.310204
0.319894	-1.488377	-0.560254
0.188564	-1.116965	-0.261403
0.450586	-1.592397	-0.577009
0.207106	-1.130209	-0.470200
0.217264	-1.293751	-0.342303
0.342437	-1.412176	-0.406726
0.335915	-1.457865	-0.462395
0.264578	-1.343464	-0.420729
0.350221	-1.548887	-0.274277
0.363479	-1.458045	-0.270875
0.492687	-1.466424	-0.393530
0.241280	-1.375531	-0.689419
0.489717	-1.518902	-0.616812
0.420851	-1.439691	-0.353304
0.515239	-1.485528	-0.112682
0.316264	-1.310107	-0.405007
0.304968	-1.267851	-0.411786
0.545735	-1.513708	-0.336348
0.521349	-1.538651	-0.282885
0.529711	-1.481381	-0.579146
0.547896	-1.826114	-0.385994
0.329630	-1.605205	-0.428138
0.456561	-1.414888	-0.608422
0.516659	-1.419139	-0.246474
0.413578	-1.485354	-0.237990
0.158905	-1.436216	-0.486914
0.164309	-1.132495	-0.391385
0.663180	-2.418484	-0.277858
0.508633	-2.022528	-0.450890
0.322280	-1.531153	-0.525487
0.347935	-1.445949	-0.493858
0.325151	-1.417122	-0.430250
0.446776	-1.626235	-0.369043
0.143618	-1.549399	-0.646123
0.234635	-1.430454	-0.556540
0.362276	-1.443803	-0.358414
0.462055	-3.032340	0.317400
0.574255	-2.289603	-0.114757
0.445015	-2.033296	-0.597601
0.541426	-2.332917	-0.336981
0.596187	-2.294577	-0.146950
0.693273	-2.518116	0.033350
0.567775	-1.965201	-0.544572
0.686686	-2.331934	-0.198170
0.795690	-2.518121	-0.312903
0.418717	-2.451205	-0.484790
0.646891	-2.522006	-0.127240
0.661853	-2.329912	-0.293051
0.759536	-2.330767	-0.353433
0.541851	-1.852749	-0.349089
0.229724	-1.404587	-0.532029
0.118667	-1.494777	-0.453208
0.387397	-1.269271	-0.374048
0.501435	-1.431631	-0.421338
0.220871	-0.979065	-0.413578
-0.120655	0.522880	0.323097
-0.029566	0.456777	0.397507
-0.197383	0.718884	0.512958
0.035517	0.698071	0.437914
-0.139853	0.704884	0.418917
-0.220400	0.593548	0.489881
-0.281705	0.513432	0.430257
-0.195681	0.194065	0.316795
-0.161661	0.389268	0.196240
-0.028250	0.666253	0.395629
-0.062882	0.793008	0.397935
0.280886	2.511251	0.355696
0.336110	2.596004	0.296355
0.560542	2.392122	0.420858
0.343706	2.563653	0.323607
0.684665	2.879083	0.229261
0.765798	3.019821	0.022103
0.690067	2.898549	0.176364
0.728059	2.729433	0.252090
0.689695	2.987436	0.135811
0.576700	2.960806	-0.034516
0.295277	1.742380	0.501007
-0.060895	1.607188	0.601378
-0.244526	0.570290	0.540399
-0.152873	0.251760	0.192044
0.012198	0.728445	0.613427
0.031231	0.565885	0.419312
-0.018033	0.525344	0.432028
-0.101213	0.412308	0.261068
-0.223336	-0.269608	-0.133544
0.090047	-0.613440	-0.248762
0.084980	-0.566670	-0.092490
0.132481	-1.411690	-0.764999
0.566789	-1.789408	-0.658312
0.226128	-1.316408	-0.530735
0.326340	-1.563633	-0.581268
-0.047024	-0.372799	-0.123993
0.005609	-0.381052	-0.039624
-0.024588	-0.633897	-0.269491
0.169440	-0.514403	-0.149046
0.100868	-0.535818	-0.136544
0.356312	-1.651176	-0.708550
0.478229	-2.377568	-0.435796
0.582340	-2.407155	-0.211953
0.589942	-2.289078	-0.336506
0.591654	-2.443594	-0.256075
0.521508	-2.452830	-0.087059
0.486776	-2.488037	-0.362364
0.646774	-2.161765	-0.800973
0.587483	-2.364008	-0.161841
0.297306	-1.619931	-0.506812
0.202378	-1.514441	-0.594765
0.039125	-0.547833	-0.164579
0.076075	-0.422520	-0.230333
-0.034688	0.674533	0.503910
-0.095023	0.696502	0.412331
0.152406	-0.045626	0.115895
0.221358	-0.217522	-0.123836
0.110739	-0.694288	-0.239752
0.024637	-0.296746	0.066382
-0.001073	0.637372	0.470708
-0.102789	0.687312	0.675732
0.270339	1.882657	0.449560
0.088823	1.384383	0.620684
-0.037333	1.315490	0.570155
-0.019698	1.318453	0.378178
0.003754	1.519916	0.381517
0.074004	0.754473	0.376986
0.163281	1.599483	0.410453
0.514794	1.818457	0.415411
0.408590	1.640220	0.493003
0.170227	1.239268	0.665429
-0.006491	1.273293	0.527545
-0.076704	1.333643	0.380714
0.009027	0.321891	0.387461
0.270020	0.763276	0.490944
-0.008210	0.405505	0.388107
-0.031753	0.219072	0.107418
0.013245	0.663262	0.137438
0.019830	0.518424	0.303270
-0.124105	0.407262	0.416198
0.021564	0.427756	-0.049332
-0.059313	0.545887	0.240953
0.060366	0.814104	0.380391
-0.087785	0.723449	0.453944
-0.139605	0.435638	0.233515
0.000906	-0.399537	-0.093612
0.126398	-0.454061	-0.159582
0.033959	-0.429011	-0.166386
0.066398	-0.615230	-0.162003
0.065462	-0.619742	-0.096539
0.265571	-0.729165	-0.184544
0.046035	-0.454225	-0.143751
0.055152	-0.524855	-0.184066
-0.013238	-0.437865	0.024705
0.130221	-0.580182	-0.288297
0.123660	-0.755974	-0.446525
0.320069	-1.431952	-0.437652
0.678155	-2.371299	-0.524487
0.545175	2.893972	0.250287
0.693356	-3.036674	0.004571
0.639682	2.663102	0.318346
0.729019	2.791911	0.451429
0.177558	2.643804	0.278820
0.557418	2.593964	0.265676
0.588981	-2.491648	-0.015846
0.610986	2.958073	0.230315
0.669006	2.581899	0.331846
0.188893	1.432057	0.486160
0.581027	2.873168	0.321141
0.518609	2.726447	0.214415
0.438751	2.757976	0.352525
0.591860	2.861151	0.445940
0.483006	2.499709	0.252739
0.109001	1.466361	0.548068
0.803129	3.091671	0.139679
0.383779	2.549142	0.450801
0.117831	1.356779	0.582462
0.005484	1.441686	0.303047
0.251465	1.576970	0.495115
0.269488	1.909151	0.562061
0.057681	1.605478	0.562066
0.190026	1.654912	0.488310
0.214904	1.696268	0.477199
-0.114647	0.590227	0.376623
-0.188005	0.181647	0.203839
0.079933	0.670191	0.531355
-0.078494	0.597899	0.412800
0.014856	0.858121	0.555943
0.119363	0.607999	0.617178
0.069068	0.359866	0.268428
0.083694	0.877267	0.490151
-0.060935	-0.010681	-0.118515
-0.006711	1.149652	0.763276
-0.086657	1.464851	0.356663
0.016624	1.185471	0.389282
0.185146	1.798007	0.355906
0.495228	2.723979	0.177957
0.360285	2.598034	0.281269
0.699188	-3.140704	-0.311585
0.751631	2.670335	0.392669
0.724256	2.976209	0.169053
0.622713	2.915466	0.260628
0.365591	2.441374	0.486805
0.564221	2.899444	0.037762
0.156832	2.501322	0.244252
0.576170	2.696389	0.229839
0.480437	2.702770	0.336192
0.527868	2.770447	0.110698
0.518461	2.906286	0.217759
0.709145	3.046502	0.062219
0.418209	2.638680	0.424302
0.567314	2.951724	-0.191307
0.532193	2.962457	0.272397
0.716917	2.836677	0.399227
0.353304	2.722817	0.186970
0.401822	2.697511	0.312648
0.478885	2.636274	0.272064
0.489511	2.674895	0.405046
0.512415	2.794539	0.324926
0.650086	2.405725	0.490317
-0.132062	0.369107	0.364816
0.111382	0.721212	0.400852
0.054117	0.674036	0.472288
-0.088221	0.401626	0.211112
0.067199	0.514542	0.351256
-0.092778	0.548800	0.326113
-0.055814	0.688864	0.383332
0.178739	0.546904	0.299554
-0.054189	0.649151	0.354319
0.017445	0.655017	0.287997
0.038469	0.410540	0.384332
0.539511	2.715071	0.263913
0.316329	-1.371930	-0.372174
0.497764	-1.571573	-0.581516
0.480603	-1.325153	-0.347045
0.295968	-1.724626	-0.222737
0.019054	-1.400059	-0.491637
0.317982	-1.584307	-0.783360
0.325382	-1.283370	-0.528388
0.256656	-1.479414	-0.610261
0.317180	-1.510671	-0.407917
0.295245	-1.610154	-0.490534
0.398371	-1.617953	-0.681788
0.274916	-1.563995	-0.334733
0.338578	-1.404803	-0.348108
0.555692	-2.186557	-0.253972
0.290555	-1.206845	-0.199023
0.442722	-1.441850	-0.379625
0.312278	-1.588215	-0.102774
0.291650	-1.302073	-0.542913
0.245622	-1.382641	-0.450525
0.395424	-1.380959	-0.302996
0.243430	-1.443932	-0.848443
0.412814	-1.426428	-0.420692
0.113317	-1.164571	-0.471956
0.281457	-1.534761	-0.170498
0.330394	-1.224842	-0.267240
0.213874	-1.234665	-0.611495
0.529751	-1.484903	-0.438381
0.797605	-2.648130	-0.101847
0.658603	2.908863	0.401911
0.417436	2.821405	0.043752
0.529973	2.909418	0.028702
0.195177	2.462796	0.340896
0.542836	2.620704	0.373846
0.274565	2.477093	0.280321
0.226146	1.698122	0.165447
0.673039	2.749433	0.486586
0.476105	2.879921	0.423441
0.387606	2.559339	0.303623
0.483338	2.826823	0.188438
0.420699	2.609908	0.217557
0.375000	2.607826	0.041904
0.808737	2.814902	0.352534
0.643836	2.960384	0.157699
0.286290	2.583827	0.241068
0.436969	2.710695	0.314711
0.417240	2.532951	0.430129
0.598882	2.773522	0.348881
0.572847	2.965156	0.138708
0.600624	2.754102	0.286991
0.421795	2.651209	0.240629
0.514188	2.880001	0.016961
0.509476	2.985766	-0.006454
0.257520	1.656366	0.404236
0.095991	0.883929	0.661152
-0.169805	0.534338	0.287786
0.062951	0.857117	0.433786
-0.185141	0.636352	0.150191
-0.357756	0.332518	0.099767
-0.037839	0.101281	0.181980
0.009598	0.507187	0.361749
-0.051012	0.617246	0.547806
-0.117726	0.572074	0.316081
0.030906	0.725985	0.634511
-0.023592	-0.568836	-0.334187
0.230813	-0.479561	-0.073773
-0.010413	-0.331485	0.051899
-0.015996	-0.472787	0.019061
0.088338	-0.533615	-0.194604
-0.043844	-0.104517	0.019096
-0.144876	-0.834971	-0.456135
-0.198027	-0.455955	-0.296022
0.187242	-0.243229	0.151194
-0.009561	-0.416552	-0.109322
-0.198125	-0.407786	0.000614
0.059643	-0.485954	-0.152327
-0.046323	-0.345758	-0.057104
-0.135261	-0.355464	-0.144297
-0.034585	-0.356520	-0.057599
0.160583	-0.267969	0.263658
-0.094257	-0.416099	-0.081847
0.180020	-0.848691	-0.156455
0.074672	-0.541609	-0.239257
-0.106327	-0.412290	-0.060497
0.005616	-0.194843	0.366723
-0.008257	-0.377490	-0.066047
0.007362	-0.465108	-0.201216
0.068911	-0.365620	-0.067314
-0.061266	-0.640154	-0.386606
-0.054713	-0.462734	-0.272695
-0.016792	-0.458203	0.084359
0.171889	-0.301417	0.059095
0.133896	-0.363721	-0.228472
-0.140747	-0.300057	0.111312
-0.048689	-0.337592	-0.046401
0.152165	-0.274781	-0.096614
-0.066192	0.533743	0.441062
0.002122	0.531751	0.090986
-0.032760	0.758794	0.454086
-0.058207	0.388081	0.243261
-0.069663	0.606523	0.235925
-0.114647	0.707762	0.403255
-0.022911	0.272329	0.190089
0.153257	1.417991	0.484990
0.414128	2.051984	0.507357
-0.044752	1.419178	0.382356
0.003937	1.440989	0.475435
0.124985	1.696476	0.535652
-0.199446	1.149067	0.240208
-0.058975	1.196764	0.505650
-0.077650	0.562602	0.036949
0.064689	0.947609	0.510821
-0.017270	1.481556	0.527911
0.037933	1.681791	0.486123
0.041959	1.431407	0.615389
0.090965	1.668488	0.544255
0.203083	1.879295	0.494307
-0.113590	1.254527	0.446972
0.187143	1.629961	0.387390
0.361650	2.198157	0.376445
-0.019251	0.484212	0.219873
0.190089	-0.424700	-0.053686
0.257885	-1.548233	-0.561219
0.149648	-1.710004	-0.198475
0.032739	-0.560453	-0.170821
0.010783	0.585504	0.272123
0.025471	0.720896	0.340557
-0.025112	0.279628	0.066038
-0.162851	0.170829	-0.173510
0.018656	-0.515200	-0.042509
-0.029978	-0.413388	0.103851
0.059285	0.098192	0.055496
0.135919	-0.365306	-0.153659
0.388135	-0.963221	-0.481097
0.356216	-1.502791	-0.482194
0.294941	-1.510336	-0.413432
0.357613	-1.484968	-0.485332
0.160647	-0.339362	0.014554
0.023127	-0.505201	-0.205078
-0.004945	-0.485011	-0.063624
-0.018034	-0.422221	0.156692
-0.154430	-0.555683	-0.137759
0.203786	-0.776404	-0.312812
0.138136	-0.361105	-0.154547
0.005044	0.375902	0.227130
-0.059357	0.638073	0.354534
0.295425	1.617620	0.403990
0.198294	1.558741	0.599473
0.118962	1.557359	0.309197
0.326654	1.531963	0.570021
0.296999	1.662997	0.549102
0.252261	1.480568	0.690037
0.103189	1.462680	0.614536
0.503608	2.166133	0.432088
0.184722	1.585876	0.578137
0.017617	1.316264	0.682666
0.362281	1.673999	0.461219
0.253270	1.688445	0.479746
0.100400	1.005866	0.386261
0.151282	0.705645	0.407203
0.052641	0.451086	0.208005
0.148144	0.792338	0.517319
0.108336	0.519567	0.252619
0.063490	0.616614	0.290735
-0.051314	0.549494	0.508837
0.006084	-0.285967	-0.007166
-0.018598	-0.196665	-0.096504
-0.017839	0.786969	0.861536
-0.062404	0.782183	0.456198
-0.036186	0.521799	0.242409
-0.189668	0.500613	0.122426
-0.191218	0.563780	0.291587
-0.018446	0.379026	0.341814
-0.029735	0.692641	0.347664
0.018977	1.364781	0.636761
0.349223	-1.466162	-0.542855
0.607711	-1.633578	-0.061921
0.586760	-2.430840	-0.256145
0.755562	-2.533862	0.133917
0.705144	-2.297222	-0.312739
0.320556	-1.042934	-0.422471
0.173997	-1.407737	-0.418151
0.253101	-1.330822	-0.272071
0.541251	-1.833580	-0.343540
0.250088	-0.410252	-0.079973
0.026941	-0.826115	-0.439038
-0.028353	-0.592885	-0.260883
0.146264	-0.599096	-0.291997
-0.141366	-0.613963	-0.131785
0.063005	-0.615789	-0.255851
-0.092984	1.236622	0.616401
0.382716	2.742951	0.024267
0.553062	2.615065	0.313707
0.700655	-3.049917	-0.273647
0.445644	2.643429	0.287438
0.447136	2.463314	0.298701
0.376005	2.726073	0.181334
0.366055	1.624371	0.421153
-0.013406	1.349112	0.517839
0.304057	1.559977	0.629902
0.166309	1.544890	0.731799
0.566351	2.144795	0.334522
0.119511	1.384645	0.472337
0.236131	1.564834	0.573023
0.014240	0.639440	0.412847
-0.045050	0.419797	0.393013
0.001881	0.556221	0.339262
0.036730	1.461640	0.356089
0.165283	1.657246	0.456240
0.079789	1.319464	0.563551
0.247662	2.098308	0.575494
0.613377	2.803252	0.243409
0.616881	2.535143	0.221503
0.608434	2.692881	0.206305
0.528610	2.630592	0.337868
0.587405	-2.180496	-0.404744
0.688164	-2.376442	-0.292233
0.570503	-2.614027	0.036151
0.606600	-2.591851	0.138237
0.701504	-2.390722	-0.258735
-0.176144	1.149477	0.738341
0.257694	1.462216	0.394129
0.153224	1.553922	0.420322
0.058853	1.422719	0.576554
-0.169011	0.368018	0.265582
0.063279	0.591382	0.628050
-0.054877	0.422541	0.250196
-0.043469	0.591063	0.395973
-0.173922	0.449998	0.183041
0.118204	0.709916	0.454948
0.081804	0.210654	0.235567
-0.192302	-0.179291	-0.285339
0.191813	-0.702094	-0.530374
-0.060263	-0.494618	-0.334772
0.187714	-1.019253	-0.347540
0.399803	-1.494794	-0.428545
0.468679	-1.550125	-0.445895
0.594267	-1.694575	-0.431372
0.337885	-1.295033	-0.450171
0.493642	-1.463335	-0.257183
0.076337	-0.494022	-0.266034
0.116468	-0.779581	-0.402389
0.150817	-0.865849	-0.489195
0.062032	-0.550575	-0.327888
0.217220	-0.654148	-0.219688
0.062155	-0.556324	-0.233738
0.112144	-0.339699	0.031608
0.087108	-0.397347	-0.097606
0.105737	-0.447487	-0.091832
0.179188	0.090832	0.251478
0.167005	-0.519003	-0.194257
0.199915	-0.495865	-0.148126
-0.004906	-0.356696	-0.178531
-0.028899	-0.473717	-0.392722
-0.049920	-0.581027	-0.214051
-0.023911	-0.491593	-0.281775
0.029702	-0.515984	-0.293240
0.170255	-0.535689	-0.413980
0.059104	-0.623435	0.067808
0.127721	-0.520918	-0.220849
0.242370	-0.566630	-0.079830
0.123484	-0.545552	-0.300172
0.202758	0.027201	0.089645
0.111190	-0.472164	-0.211612
0.005655	-0.358681	-0.184857
0.180411	-0.707548	-0.367886
0.593976	-1.453824	-0.534769
0.409365	-1.620929	-0.387149
0.504878	-1.535001	-0.576048
0.385674	-1.241896	-0.211153
0.364559	-1.544929	-0.597967
0.518063	-1.352484	-0.580181
0.359121	-1.463265	-0.526739
0.326371	-1.549306	-0.454730
0.321209	-1.340589	-0.586164
0.354782	-1.160969	-0.408229
0.297287	-1.509362	-0.479725
0.743891	-1.818500	-0.463146
0.373900	-1.476439	-0.211230
0.528802	-1.495264	-0.487106
0.381178	-1.290057	-0.315985
0.346155	-1.321481	-0.670191
0.341873	-1.451426	-0.267751
0.390903	-1.275892	-0.416032
0.291550	-1.534406	-0.304729
0.380845	-1.484891	-0.517523
0.355909	-1.441481	-0.472785
0.191538	-1.363123	-0.403796
0.311054	-1.456886	-0.262035
0.068291	-0.357918	-0.168398
0.188607	-1.144180	-0.420741
0.489333	-1.375112	-0.291079
0.357381	-1.411922	-0.317440
0.508140	-1.344975	-0.481652
0.631877	-1.501603	-0.535647
0.386318	-1.244444	-0.576594
0.502999	-1.372269	-0.527871
0.326738	-1.417450	-0.320060
0.373712	-1.690418	-0.468987
0.330019	-1.612686	-0.401764
0.744589	-2.142681	-0.130154
0.597840	-2.372557	-0.289702
0.588686	-2.514983	-0.101843
0.756419	-2.026369	-0.282124
0.815029	-2.409849	-0.052981
0.958606	-2.446596	-0.034027
0.733204	-2.437974	0.124405
0.644489	-2.461104	-0.141061
0.671095	-2.288942	-0.153069
0.399078	-1.542527	-0.462800
0.393176	-1.371736	-0.228685
0.575126	-1.496896	-0.478213
0.511301	-1.547522	-0.473169
0.417197	-1.690613	-0.291327
0.337219	-1.446410	-0.510416
0.371471	-1.458378	-0.284456
0.471270	-1.172802	-0.261007
0.341962	-1.553160	-0.139002
0.502166	-1.377492	-0.317510
0.159951	-1.351251	-0.461851
0.464313	-1.480598	-0.325602
0.412032	-1.610880	-0.428920
0.396167	-1.269704	-0.390889
0.614099	-1.854585	-0.470351
0.736175	-2.611260	-0.073491
0.584258	-2.535195	0.177179
0.545730	-2.221363	-0.220840
0.623379	-2.113028	-0.295095
0.554196	-2.422257	-0.343158
0.636202	-2.351568	-0.480014
0.913074	-2.348037	-0.165040
0.475709	2.400042	0.496976
0.523445	2.689629	0.109354
0.653463	2.916328	0.003388
0.519122	2.566116	0.584989
0.553995	-2.443414	-0.139021
0.779516	-2.376603	-0.284419
0.482102	-2.610943	0.079053
0.682960	-2.421571	-0.270791
0.667142	-2.710156	0.096051
0.497424	-2.385486	-0.398975
0.500035	2.930916	0.187853
0.587726	2.819927	0.261449
0.454630	2.615739	0.313220
0.439270	2.266252	0.487903
0.593888	2.882575	0.147978
0.414701	2.903678	0.060319
0.851276	-2.459024	-0.321244
0.700891	-2.241518	-0.390788
0.777328	-2.612124	-0.144899
0.509675	3.067807	-0.008296
-0.111898	1.198734	0.563038
0.052229	1.424279	0.504233
-0.131088	1.236016	0.436187
0.215206	1.748040	0.380255
0.089836	1.802028	0.626580
-0.124932	1.159574	0.349349
-0.075606	1.475311	0.612611
-0.059209	1.289407	0.345205
0.148313	1.498423	0.544447
0.241798	1.721750	0.542516
0.054601	1.631731	0.544855
0.089003	1.697005	0.223770
0.270053	1.565180	0.468565
0.047756	1.477896	0.362011
0.214773	1.765860	0.466214
0.102385	1.539225	0.318666
0.096077	1.541827	0.477611
0.064612	1.520225	0.402639
0.156582	1.903280	0.306209
0.168606	1.752880	0.490170
0.172678	1.255747	0.466532
-0.086952	0.720214	0.200783
-0.099314	0.502145	-0.036292
-0.161593	0.432562	0.155823
0.038860	-0.283112	-0.088055
0.000253	-0.696468	-0.328031
0.132221	-0.334782	-0.228403
0.071735	-0.882405	-0.523667
0.192541	-0.542274	-0.127744
0.083141	-0.119815	-0.119691
0.165599	-0.451597	-0.175008
0.164478	-0.661038	-0.336815
0.052789	-0.518197	-0.193604
0.013654	-0.542502	-0.152264
-0.044867	0.184373	-0.047220
0.022461	0.089602	-0.142845
-0.098894	0.431864	0.313044
-0.093579	0.243765	0.182369
0.021700	0.163298	0.144957
-0.018860	0.021434	-0.284688
-0.119166	0.529905	-0.008905
-0.104997	0.538212	0.325713
0.047010	-0.505732	-0.255518
0.052032	-0.605106	-0.218604
0.201921	-0.968513	-0.410165
0.282579	-1.597441	-0.391709
0.558427	-1.640233	-0.526828
0.171198	-1.618086	-0.462116
0.268821	-1.511478	-0.524337
0.220679	-1.643845	-0.486160
-0.030069	-0.419750	-0.101458
0.010388	-0.553292	-0.204752
0.122824	-0.757750	-0.341153
-0.111101	0.349083	-0.037842
0.165974	0.462504	0.209487
-0.066038	0.583155	0.216981
0.102692	0.440109	0.005889
-0.242241	0.471911	0.305892
-0.144512	0.468481	0.020262
-0.149861	0.420429	0.285033
-0.192695	0.247800	0.586569
-0.237410	0.409978	0.219751
0.151882	-0.178261	-0.148878
-0.083640	-0.352878	-0.016465
0.063373	-0.553826	-0.075941
0.148465	-0.761019	-0.325617
0.029781	-0.436156	-0.390554
0.164576	-0.370671	-0.295086
0.174837	-0.247624	-0.030037
-0.025592	-0.753476	-0.482282
0.018230	-0.621468	-0.197711
0.047545	-0.809581	-0.381347
0.003283	-0.688689	-0.143260
0.056388	-0.743735	-0.378537
0.113026	-0.712276	-0.347774
0.304206	-1.459404	-0.415453
0.226474	-1.714327	-0.270868
0.148849	-1.370881	-0.423687
0.365938	-1.489364	-0.551322
0.353324	-1.537750	-0.406773
0.263353	-1.430742	-0.401572
0.455571	-1.569732	-0.668747
0.492019	-1.831772	-0.163403
0.462884	-1.611363	-0.327406
0.301541	-1.457362	-0.335138
0.280729	-1.469454	-0.488319
0.498384	-1.614937	-0.600634
0.266709	-1.372715	-0.650886
0.342194	-1.584659	-0.514364
0.281225	-1.493363	-0.396855
0.196671	-1.542958	-0.579376
0.226224	-1.926995	-0.529456
0.135787	-1.408865	-0.411591
0.383103	-1.348253	-0.436358
0.414029	-1.476831	-0.316840
0.143468	-1.336837	-0.426813
-0.139742	-0.934749	-0.428141
0.044646	-0.450105	-0.102322
-0.126046	-0.434266	0.117953
0.017024	-0.764699	-0.484971
-0.099353	-0.593662	-0.204345
0.216896	-0.240000	-0.289695
-0.203148	0.604861	0.377272
0.032995	0.148161	0.236351
-0.230272	0.242608	-0.069646
0.031592	0.806246	0.520422
-0.171397	0.693069	0.483144
0.074266	0.582214	0.479622
-0.004559	0.295975	0.281202
0.016024	0.307942	0.318067
-0.008409	1.333774	0.440474
0.256562	1.525858	0.582015
0.101128	1.752759	0.455648
-0.119813	1.434022	0.513410
0.254843	1.737498	0.401174
0.121704	1.438476	0.351670
0.042481	1.385746	0.335217
0.273415	1.929296	0.497106
0.188026	1.434743	0.552597
0.264334	1.787135	0.390818
0.091975	1.599826	0.422546
0.361028	1.861099	0.370205
-0.010641	1.369254	0.467429
0.069850	1.283580	0.427176
0.168443	1.376155	0.522094
0.328609	1.996487	0.513893
0.070356	1.559637	0.362210
0.107366	1.357665	0.552252
0.221194	1.581389	0.551020
-0.128365	1.251850	0.374064
-0.043286	1.398152	0.546543
0.088619	1.236419	0.528833
0.065000	1.604776	0.351649
-0.075447	1.489893	0.466553
-0.101468	1.470274	0.400331
-0.101189	1.430437	0.486139
-0.153779	1.232408	0.754417
0.147365	1.458451	0.557264
-0.151774	0.993745	0.235012
0.097234	1.461197	0.357075
0.103351	1.713522	0.488333
0.373563	2.675571	0.199322
0.379140	2.620148	0.375478
0.509786	2.705246	0.390013
0.309374	2.761024	0.299416
0.519141	2.764640	0.268646
0.532399	2.672310	0.256886
0.458287	2.782475	0.359217
0.344463	2.615926	0.316685
0.423413	2.721307	0.324717
0.303715	2.645949	0.442417
0.397239	2.816227	-0.056577
0.460180	2.843822	0.137736
0.388865	3.093285	0.010575
0.240759	1.794392	0.487888
0.223161	2.202482	0.388203
0.337369	2.568245	0.375867
0.720945	3.019934	0.237421
0.597468	-2.800238	0.038991
0.329813	-1.913959	-0.582523
0.349438	-2.435017	-0.248694
0.660281	-2.339968	-0.293645
0.380251	-2.823725	-0.036156
0.581874	-2.308996	-0.377049
0.507851	-2.494128	-0.156289
0.569084	-2.209599	-0.362641
0.325349	-2.066781	-0.425042
0.559359	-2.496934	-0.096054
0.425637	-2.144640	-0.338814
0.310211	-2.416051	-0.243892
0.637782	-2.476439	-0.299980
0.316812	-2.330620	-0.468551
0.327087	-1.620556	-0.569689
0.217374	-1.503535	-0.524257
0.343074	-1.479264	-0.641471
0.165267	-0.548988	-0.271277
-0.076342	-0.489570	-0.033348
-0.001400	-0.377834	0.182643
0.110572	-0.667944	-0.227444
0.139291	-0.372263	-0.207356
0.019438	-0.410411	0.044431
0.107760	-0.635127	-0.363550
0.098190	-0.315315	-0.116035
0.046052	-0.523072	-0.276649
-0.003632	-0.698962	-0.523635
-0.033154	-0.503587	-0.045096
0.064650	-0.617306	-0.114370
-0.043342	-0.716929	-0.556688
0.083442	-0.590626	-0.326474
0.049147	-0.560718	-0.442820
-0.059497	-0.492954	0.005480
0.492317	-1.822633	-0.464031
0.104563	-1.270879	-0.479908
0.566893	-1.496093	-0.425759
0.328113	-1.373883	-0.493042
0.289346	-1.394445	-0.630286
-0.022806	-0.783946	-0.432678
-0.116066	-0.451686	-0.036566
-0.077137	-0.779488	-0.338498
-0.127147	-0.703364	0.006011
-0.016439	-0.450070	-0.000307
0.014846	-0.400857	-0.194096
0.076411	-0.401478	-0.185225
0.134001	-0.785595	-0.314678
0.085258	-0.838566	-0.386933
0.004772	-0.686806	-0.442073
0.535738	-1.520728	-0.508170
0.410566	-1.536204	-0.327335
0.428271	-1.507717	-0.404822
0.440141	-1.459753	-0.250641
0.422284	-1.503271	-0.531214
0.407873	-1.497915	-0.447035
0.345956	-1.433378	-0.519696
0.347807	-1.596714	-0.489420
0.515619	-1.434477	-0.385479
0.505655	-1.622022	-0.602983
0.113083	-1.428636	-0.501639
0.360479	-1.446717	-0.332265
0.413898	-1.562536	-0.601617
0.270591	-1.759088	-0.532069
0.120452	-1.481624	-0.574351
-0.073915	-1.401466	-0.547332
0.201709	-1.612902	-0.400698
0.389807	-1.501821	-0.608909
0.169857	-1.673500	-0.674160
0.384278	-1.530771	-0.560375
0.474942	-1.576666	-0.615241
0.422495	-1.596186	-0.647213
0.387584	-1.451346	-0.341474
0.387006	-1.485335	-0.656485
0.351111	-1.287398	-0.428986
0.317851	-1.426566	-0.525557
0.498237	-1.750534	-0.298235
0.213497	-1.454187	-0.562406
0.172442	-1.383748	-0.660747
0.462184	-1.312606	-0.446881
0.366729	-1.393789	-0.496480
0.335344	-1.368809	-0.475047
0.318643	-1.207014	-0.785386
0.361983	-1.332540	-0.360332
0.611153	-1.705384	-0.681788
0.447768	-1.584851	-0.432671
0.185427	-1.441590	-0.123053
0.205060	-1.538016	-0.504222
0.218156	-1.554765	-0.579182
0.232958	-1.334254	-0.324410
0.268953	-1.473897	-0.356932
0.181907	-1.454371	-0.330724
0.243822	-1.447297	-0.490764
0.335957	-1.370583	-0.503444
0.167382	-1.291971	-0.687497
0.389978	-1.654996	-0.752153
0.257600	-1.365980	-0.722086
0.424724	-1.392628	-0.356979
0.364344	-1.414685	-0.352284
0.345746	-1.526346	-0.833643
