#Frame             a1           a2
     852      52.9602     101.7661
     853      62.8891      82.9949
     854      64.8985      92.4925
     855      80.6444      86.0909
     856      64.7032      86.4194
     857      68.1254      83.9357
     858      84.3496      59.5677
     859      76.6743      64.4638
     860      88.7446      54.8017
     861      80.3117      63.6292
     862      68.7779      88.1264
     863      54.3579      97.9131
     864      64.4323      97.3014
     865      69.2170      87.4986
     866      63.7686     101.8149
     867      65.3717      89.7700
     868      59.4879      99.3171
     869      69.7109      94.3785
     870      76.9539      77.7740
     871      71.0164      90.9848
     872      73.2844      81.0657
     873      77.7150      61.5238
     874      74.4148      48.8697
     875      68.4426      47.6356
     876      71.8035      49.5429
     877      62.5986      41.9668
     878      67.0738      43.1282
     879      69.2861      53.6758
     880      66.4417      36.9803
     881      73.2151      54.7494
     882      72.2349      36.7062
     883      74.2281      38.5850
     884      63.3333      43.1577
     885      73.7276      69.2021
     886      80.9973      55.3338
     887      78.2526      60.7016
     888      83.9124      64.1976
     889      73.5052      65.8873
     890      75.0513      54.1231
     891      76.9626      46.4884
     892      88.1951      43.4762
     893      74.3131      61.4684
     894      75.7856      69.8533
     895      79.9814      56.0795
     896      71.8897      59.4731
     897      77.5662      56.8453
     898      74.1556      70.3924
     899      76.2089      50.9664
     900      77.1289      52.7854
     901      89.6458      58.3088
     902      61.3874      68.3585
     903      76.3762      66.3571
     904      80.4595      65.4048
     905      71.9804      52.3673
     906      70.6931      56.5641
     907      67.8589      43.4544
     908      50.6383      52.0740
     909      50.2234      55.8144
     910      59.4627      68.7166
     911      58.7436      59.1665
     912      53.6963      60.5452
     913      47.0285      52.3828
     914      49.3707      60.3906
     915      49.5578      64.7971
     916      63.0658      42.8828
     917      56.2452      58.1308
     918      59.7598      61.9273
     919      57.3547      47.9797
     920      43.0681      55.5113
     921      59.5878      47.4408
     922      48.0133      55.6519
     923      59.7955      61.7711
     924      50.5940      50.4074
     925      47.8427      61.9806
     926      53.8863      46.5865
     927      41.5553      59.6900
     928      57.1737      62.4333
     929      60.5047      45.4016
     930      69.4530      53.6306
     931      64.5297      30.0047
     932      63.2235      36.2394
     933      67.8061      39.2982
     934      70.0446      47.7412
     935      68.4924      45.2443
     936      65.2012      48.3574
     937      61.9631      33.9194
     938      61.6583      31.8200
     939      68.4387      68.2067
     940      63.4551     115.0614
     941      56.3556     114.4460
     942      63.0308      96.2245
     943      66.5994      86.4272
     944      72.9948      80.4979
     945      67.8277      87.6503
     946      57.7473      98.4309
     947      62.8251      96.9400
     948      64.2005      96.2576
     949      74.5733      87.2694
     950      37.5172     102.3759
     951      51.1391      99.5536
     952      46.0540     114.2567
     953      37.7459     116.1161
     954      42.8379     112.1073
     955      41.6139     112.9658
     956      49.4778     104.2919
     957      47.0008     122.0897
     958      38.0609     108.8679
     959      39.9282     117.8021
     960      37.6083     103.5585
     961      39.0664     107.8005
     962      40.2896      96.2581
     963      50.7066      96.9701
     964      51.7583     100.8726
     965      68.2817      94.5367
     966      72.2408      95.5492
     967      63.0494      98.6562
     968      63.0693      93.7681
     969      69.8197     101.1571
     970      62.3437      95.9597
     971      59.0586      99.9154
     972      79.0300      81.0509
     973      65.4801      85.0039
     974      71.8804      83.0642
     975      67.5740      87.0661
     976      58.3856     100.6614
     977      72.1955      92.4072
     978      55.4083     122.6590
     979      59.3267      91.7993
     980      67.4276      65.3590
     981      76.4785      55.2729
     982      80.8513      59.8565
     983      67.7508      45.6239
     984      64.2407      50.1733
     985      71.1756      54.4695
     986      67.5871      43.3230
     987      64.2527      41.1323
     988      73.0993      43.6222
     989      64.1369      42.4110
     990      67.5475      41.9225
     991      67.5705      42.8875
     992      72.1849      50.5410
     993      70.5314      56.0175
     994      64.2965      43.1756
     995      75.0889      44.8943
     996      67.2670      42.6668
     997      79.3696      46.4853
     998      73.0455      43.4871
     999      69.1864      38.1330
    1000      56.3030      65.9878
    1001      66.3735      65.1348
    1002      74.0266      52.3258
    1003      69.4305      49.7086
    1004      65.0809      49.0746
    1005      72.6949      56.0392
    1006      63.7362      50.4215
    1007      76.0096      49.7653
    1008      73.1863      51.8841
    1009      71.3390      49.7390
    1010      74.4899      44.4343
    1011      74.7351      49.6960
    1012      73.2218      46.4163
    1013      70.7230      41.7906
    1014      73.4476      39.2863
    1015      76.2449      48.9061
    1016      66.2372      47.3182
    1017      71.7315      48.4287
    1018      48.3186      68.0603
    1019      52.4665      62.5277
    1020      51.7892      59.5995
    1021      54.2445      59.8728
    1022      61.8865      58.1349
    1023      58.7733      60.3372
    1024      43.8520      57.9433
    1025      53.9930      51.2117
    1026      54.7771      60.6225
    1027      60.7855      68.0466
    1028      48.1792      81.1640
    1029      43.9671      79.2459
    1030      37.9776      81.4271
    1031      44.9444      94.4027
    1032      50.8259     100.9655
    1033      39.9130      74.9288
    1034      45.4204      81.9249
    1035      39.9322      81.8343
    1036      39.9055      83.3711
    1037      44.5350     107.4535
    1038      46.2863      93.9755
    1039      31.7744      89.2565
    1040      37.4258      77.6616
    1041      38.7792      70.8933
    1042      32.8028      84.2734
    1043      38.0154      68.8802
    1044      37.6679      82.3779
    1045      45.4864      63.1892
    1046      67.9855      46.7561
    1047      54.1650      55.4511
    1048      42.1299      69.7035
    1049      44.1558      71.4843
    1050      36.8490      75.0126
    1051      34.7038      70.6035
    1052      39.2993      93.0387
    1053      43.8196      96.3493
    1054      43.0330     103.0419
    1055      45.3062     103.6910
    1056      53.0970     104.1092
    1057      37.2491      95.8025
    1058      37.1328      95.3276
    1059      45.2861      98.4180
    1060      49.3099      98.4536
    1061      43.1352      94.5735
    1062      47.0946      92.5025
    1063      40.4145      99.5999
    1064      72.0056      86.3813
    1065      56.1556      98.2768
    1066      51.4448      96.7325
    1067      51.1009     105.6501
    1068      58.7542     108.6301
